categorie,type,train_good,test_good,test_defaut,nb_types_defauts,resolution,mode
bottle,Objet,209,20,63,3,900x900,RGB
cable,Objet,224,58,92,8,1024x1024,RGB
capsule,Objet,219,23,109,5,1000x1000,RGB
carpet,Texture,280,28,89,5,1024x1024,RGB
grid,Texture,264,21,57,5,1024x1024,L
hazelnut,Objet,391,40,70,4,1024x1024,RGB
leather,Texture,245,32,92,5,1024x1024,RGB
metal_nut,Objet,220,22,93,4,700x700,RGB
pill,Objet,267,26,141,7,800x800,RGB
screw,Objet,320,41,119,5,1024x1024,L
tile,Texture,230,33,84,5,840x840,RGB
toothbrush,Objet,60,12,30,1,1024x1024,RGB
transistor,Objet,213,60,40,4,1024x1024,RGB
wood,Texture,247,19,60,5,1024x1024,RGB
zipper,Objet,240,32,119,7,1024x1024,L
